Array Size,Mean_Comparisons,Std_Comparisons
10000,49995000.0,0.0
20000,199990000.0,0.0
30000,449985000.0,0.0
40000,799980000.0,0.0
50000,1249975000.0,0.0
60000,1799970000.0,0.0
70000,2449965000.0,0.0
80000,3199960000.0,0.0
90000,4049955000.0,0.0
100000,4999950000.0,0.0
