Array Size,Mean_Comparisons,Std_Comparisons
10000,157651.4,9195.461866232352
20000,338406.7,17981.557441198223
30000,536278.9,12846.420542963186
40000,738161.2,27990.20521857203
50000,938335.1,37111.65310084931
60000,1160140.9,52396.23608290538
70000,1358104.8,66757.10108678408
80000,1593552.9,85055.99134223946
90000,1776615.6,37126.91215936074
100000,2009456.6,95192.72161859623
