Array Size,Execution Time (seconds),Comparisons, Swaps
10000,0.000085,9999,0
20000,0.000071,19999,0
30000,0.000104,29999,0
40000,0.000142,39999,0
50000,0.000173,49999,0
60000,0.000204,59999,0
70000,0.000242,69999,0
80000,0.000278,79999,0
90000,0.000313,89999,0
100000,0.000368,99999,0
