Array Size,Execution Time (seconds),Comparisons, Swaps
10000,0.181689,49995000,25014998
20000,0.708570,199990000,100029998
30000,1.593064,449985000,225044998
40000,2.836202,799980000,400059998
50000,4.468663,1249975000,625074998
60000,6.433706,1799970000,900089998
70000,8.728947,2449965000,1225104998
80000,11.522610,3199960000,1600119998
90000,14.534960,4049955000,2025134998
100000,17.993435,4999950000,2500149998
