Array Size,Execution Time (seconds),Comparisons, Swaps
10000,0.000499,114079,64655
20000,0.001053,248120,139223
30000,0.001633,388771,214378
40000,0.002256,536183,298304
50000,0.002895,686635,383008
60000,0.003478,837503,458761
70000,0.004124,995229,547636
80000,0.004787,1152291,636418
90000,0.005432,1309694,723395
100000,0.006137,1473169,816117
