Array Size,Mean_Comparisons,Std_Comparisons
10000,25007455.7,156054.68670668712
20000,99956787.2,623921.5765998516
30000,224769223.3,902802.3192344637
40000,399892403.9,1411371.8467441946
50000,625554640.7,1394190.999151039
60000,899758071.8,2297005.353359139
70000,1225696298.8,3101587.8093904494
80000,1601912003.3,4193439.1417643093
90000,2023899082.4,3431066.874419301
100000,2498631147.1,6764348.613404871
