Array Size,Mean_Comparisons,Std_Comparisons
10000,280455.8,167.56544326853052
20000,611148.8,272.84867600925173
30000,960563.4,381.7646744614677
40000,1322414.3,382.33436500887433
50000,1693529.4,431.4026734579508
60000,2071161.6,295.03265355999997
70000,2455142.9,417.6671854213083
80000,2844786.5,242.01985685294525
90000,3239145.4,742.2389851732249
100000,3638294.0,461.7844615065645
