Array Size,Execution Time (seconds),Comparisons, Swaps
10000,0.001501,69008,133616
20000,0.001832,148016,287232
30000,0.002877,227728,447232
40000,0.003886,316032,614464
50000,0.004992,401952,784464
60000,0.006064,485456,954464
70000,0.007141,573728,1128928
80000,0.008239,672064,1308928
90000,0.009286,765248,1488928
100000,0.010599,853904,1668928
