Array Size,Execution Time (seconds),Comparisons, Swaps
10000,0.001489,260316,116696
20000,0.003189,571581,254334
30000,0.004949,900748,399212
40000,0.006757,1240743,547628
50000,0.008597,1588523,698892
60000,0.010474,1943721,854794
70000,0.012406,2306156,1012682
80000,0.014346,2675907,1174074
90000,0.016316,3044400,1334932
100000,0.018228,3422245,1497434
