Array Size,Execution Time (seconds),Comparisons, Swaps
10000,0.158322,49995000,49995000
20000,0.569578,199990000,199990000
30000,1.281468,449985000,449985000
40000,2.286177,799980000,799980000
50000,3.563868,1249975000,1249975000
60000,5.133278,1799970000,1799970000
70000,7.007004,2449965000,2449965000
80000,9.134078,3199960000,3199960000
90000,11.553894,4049955000,4049955000
100000,14.261552,4999950000,4999950000
