Array Size,Execution Time (seconds),Comparisons, Swaps
10000,0.001295,64608,133616
20000,0.001823,139216,287232
30000,0.002839,219504,447232
40000,0.003847,298432,614464
50000,0.004919,382512,784464
60000,0.005959,469008,954464
70000,0.007066,555200,1128928
80000,0.008091,636864,1308928
90000,0.009181,723680,1488928
100000,0.010347,815024,1668928
