Array Size,Execution Time (seconds),Comparisons, Swaps
10000,0.102774,49995000,5000
20000,0.408796,199990000,10000
30000,0.919012,449985000,15000
40000,1.694884,799980000,20000
50000,2.734914,1249975000,25000
60000,3.899169,1799970000,30000
70000,5.317609,2449965000,35000
80000,6.552239,3199960000,40000
90000,8.259803,4049955000,45000
100000,10.220413,4999950000,50000
