Array Size,Execution Time (seconds),Comparisons, Swaps
10000,0.180637,49995000,25014998
20000,0.710795,199990000,100029998
30000,1.597199,449985000,225044998
40000,2.877520,799980000,400059998
50000,4.495917,1249975000,625074998
60000,6.483897,1799970000,900089998
70000,8.805318,2449965000,1225104998
80000,11.440007,3199960000,1600119998
90000,14.524706,4049955000,2025134998
100000,17.952973,4999950000,2500149998
