Array Size,Execution Time (seconds),Comparisons, Swaps
10000,0.001635,302541,131956
20000,0.003336,652613,282878
30000,0.005163,1020470,440100
40000,0.007070,1403551,605202
50000,0.009029,1798141,773304
60000,0.010948,2195109,941416
70000,0.012932,2600923,1114302
80000,0.014961,3013638,1293150
90000,0.017015,3431572,1471998
100000,0.019031,3854032,1650854
