Array Size,Execution Time (seconds),Comparisons, Swaps
10000,0.102813,49995000,0
20000,0.407639,199990000,0
30000,0.917120,449985000,0
40000,1.647207,799980000,0
50000,2.669983,1249975000,0
60000,3.683048,1799970000,0
70000,5.235559,2449965000,0
80000,6.594318,3199960000,0
90000,8.242738,4049955000,0
100000,10.374667,4999950000,0
